"Released","Genre","Casts","Duration","Country","Production","Title"
"2024-10-18","Drama, Thriller","Demaris Harvey, Jayda Jones, Khaotic, Crystal The Doll, Lemastor Spratling","126 min","N/A","N/A","Negligence"
"2024-11-01","Horror","N/A","97 min","N/A","N/A","Don't Break the Rules"
"2024-05-03","Drama","David Akwari, Adenike Banjo, Alex Ayalogu,","90 min","N/A","N/A","Unwanted Bride"
"2024-08-01","Thriller, Drama, History","Jan Vondráček, Vojtěch Vodochodský, Marie Anna Kupcová, Hana Marie Maroušková, Petr Buchta","131 min","Czech Republic, Slovakia","Dawson Productions, Česká televize, Český rozhlas, Wandal production, Barrandov Studio, innogy Česká republika, RTVS, Bontonfilm, Dobrovolný ekologický spolek - ochrana ptactva, Státní Fond CR pro Podporu a Rozvoj Ceské Kinematografie, Czech Television, Státní fond ČR pro podporu a rozvoj české kinematografie, Barrandov Studios","Waves"
"2024-05-31","N/A","OG Tega, Chuks Joseph, Austine Onuoha, Bryan Okoye, Miriam Peters","N/A min","N/A","N/A","Criminal"
"2024-04-16","Drama, Romance","Reina Castillo, Yuki Sakamoto, Ayra Salvador, Shiena Yu, Seonwoo Kim","48 min","Philippines","Vivamax","Wanted: Girlfriend"
"2024-12-20","Documentary","Ajay Devgn, Alison Doody, Jr NTR, Alia Bhatt, Ram Charan","97 min","India","DVV Entertainment, DVV Entertainments","RRR: Behind & Beyond"
"2024-05-21","Documentary","Benjamin Ingrosso,","50 min","Sweden","N/A","This Is Benjamin Ingrosso"
"2024-04-04","Animation, Documentary, History","Nóra Trokán, Olasz Renátó, Gábor Csőre, Ágoston Kenéz, Olivér Börcsök","80 min","Hungary","Cinemon, Umbrella Collective, Cinemon Entertainment","Pelikan Blue"
"2024-09-28","Documentary","Oliver Orgován, Marián Dzvoník, Vladislav Cucak, Peter Džubera, Igor Kasala ml.","75 min","N/A","BFILM, HBO Europe, BFILM.cz, Bari-Slovakia, HBO Europe","Car Gangs"
"2025-10-09","Romance, Thriller, Music","Christian Galvis, Thomas Canestraro, Diego Luna, Will Fitz, Tonatiuh","128 min","United Kingdom, United States of America","Josephson Entertainment, Tom Kirdahy Productions, Artists Equity, Mohari Media, 1000 Eyes, Nuyorican Productions","Kiss of the Spider Woman"
"2025-01-28","Documentary","Melvin Ray, Robert Earl Council,","117 min","United States of America","HBO Documentary Films, Hit the Ground Running Films","The Alabama Solution"
"2025-09-19","Drama","Karina Ortiz, Nathalia Lares, Gabriela Amerth, Javier Muñoz, Susanna Guzman","94 min","United States of America","Brownsville Bred LLC, Del Valle Productions","Brownsville Bred"
"2025-09-26","Documentary","Becky Calzada, Amanda Jones, Marie Masferrer, Martha Hickson, Carolyn Foote","92 min","United States of America","Ideal Partners, Cuomo Cole Productions, Pretty Matches Productions, ITVS, Good Gravy Films, Artemis Rising, The Harnisch Foundation, World of HA Productions, K.A. Snyder Productions, Independent Television Service (ITVS), iDeal Partners Film Fund","The Librarians"
"2025-03-07","Drama","Maria Anastasiades,","93 min","United Kingdom","N/A","Noise"
"2025-08-22","Drama, Thriller","Sunny Suljic, Hannah Christine Shetler, Rene Leech, Théodore Pellerin, Archie Madekwe","100 min","United States of America, Italy","High Frequency Entertainment, MeMo Films, Twin Productions, Arts & Sciences, Adler Entertainment, Case Study Films, Wise Pictures, Va Bene Productions","Lurker"
"2023-04-21","Thriller, Drama, Horror","Victoria Meade, Andy Bowles, Maggie Wagner, Sheilagh Weymouth, Tara Troy","65 min","United States of America","APB Productions LLC","Dungeon"
"2025-05-16","N/A","N/A","N/A min","N/A","N/A","Mantopus!"
"2023-09-22","Drama","N/A","88 min","Germany, Poland, Romania","microFILM, Pandora Film, Extreme Emotions","Mammalia"
"2021-10-21","Comedy, Romance","N/A","104 min","N/A","Glasshouse Productions, SJG films","Love You Like That"
"2024-01-01","Horror","N/A","100 min","United Kingdom","Silent D Pictures, My Dreams to Reality, Stuffed Monkey Films, Blue Eyes Film & Television","In Search of Fear"
"2025-02-19","Music, Documentary","Hans Zimmer, Timothée Chalamet, Denis Villeneuve, Finneas O'Connell, Jerry Bruckheimer","158 min","United States of America","Trafalgar Releasing, Executive Visions Inc., Jerry Bruckheimer Films, RCI Global, SiFi Films, Greenwich Entertainment","Hans Zimmer & Friends: Diamond in the Desert"
"2024-02-13","Documentary, Music","Gloria Gaynor,","99 min","United States of America","Storyville Entertainment","Gloria Gaynor: I Will Survive"
"2022-11-07","Drama","N/A","85 min","New Zealand, United States of America","N/A","Ka Pō"
"1951-08-28","War, Action, Drama","William Harrigan, Gordon Gebert, Michael St. Angel, Milton Kibbee, John Mitchum","102 min","United States of America","RKO Radio Pictures","Flying Leathernecks"
"2023-03-28","Horror","Keith Foster, Luna Dvil, Karin Engman, Johan Sjöberg, Elin Gustafsson","105 min","Sweden","N/A","Eyes of Dread"
"2011-08-19","Drama","Garrett Hendricks, Katie Lowes, Madeline Carroll, Jamie Kennedy, Clayton Prince","103 min","United States of America","Nationlight Productions","Café"
"2025-07-10","Documentary","Alison Spittle,","50 min","N/A","N/A","Bee-Kept"
"2022-09-30","Science Fiction, Action","Anthony Jensen, Scott Williams, Justin Tanks, Jack Pearson, Neli Sabour","93 min","United States of America","The Asylum, Emerald City Films","Attack on Titan"
"2025-06-24","Documentary","Steve Mera, Josh Mills,","91 min","United States of America","Alchemy Works LLC","Anunnaki Origins: Sumeria to South America"
"2022-11-30","Drama","Laure Calamy, Clément Bresson, Rosemary Standley, Sara Verhagen, Jeanne Ferron","119 min","France","Aurora Films","Angry Annie"
"2025-03-19","N/A","N/A","69 min","United Kingdom","Entertain ME","Aliens in America: The Pascagoula Case"
"2022-03-03","Documentary","N/A","88 min","United States of America","Hedera Pictures, Sundance Institute, Black Public Media, JustFilms / Ford Foundation, American Documentary, Firelight Media, Field of Vision, Tribeca Film Institute, Corporation for Public Broadcasting, ITVS, Black Public Media (BPM), Sundance Institute Documentary Fund, Independent Television Service (ITVS), Firelight Media Inc.","After Sherman"
"2023-10-05","Drama, Thriller","Frances Tomelty, Jay Johnson, Lauryn Ajufo, Chaneil Kular, Nila Aalia","88 min","United Kingdom","Three Little Birds Pictures, XYZ Films, Sunrise Films, Sunrise Films","Accused"
"2018-08-07","Western","Meg Foster, Lance Henriksen, Peter 'Drago' Tiemann, Todd A. Robinson, Kevin Makely","80 min","United States of America","Papa Octopus Productions","A Reckoning"
"1952-02-22","Thriller, Drama","Herbert Berghof, Nestor Paiva, Lumsden Hare, Keith McConnell, David Bauer","108 min","United States of America","20th Century Fox","5 Fingers"
"2014-12-27","Drama, Thriller, Mystery, TV Movie","Dylan Neal, Raphael Kepinski, Lola Tash, Spencer List, Nicole Hombrebueno","85 min","Canada, United States of America","Sepia Films, Brainstorm Media, World International Network (WIN), Movie Central","A Wife's Nightmare"
"2008-10-07","Comedy, Family","Kenda Benward, Bryan Harnetiaux, Brittany Curran, Luke Benward, Kevin Farley","107 min","United States of America","Diamond Dog Entertainment, North by Northwest Entertainment","Dog Gone"
"2017-05-26","Documentary","Ed Viesturs, Reinhold Messner, Conrad Anker, Fred Beckey,","96 min","United States of America","Lucid Visual Media, 2R Productions, Centripetal Films","Dirtbag: The Legend of Fred Beckey"
"2025-08-12","Documentary","Mark Henry, Victoria González, Jimmy Hart, Mark LoMonaco, Jacob Fatu","43 min","United States of America","TMZ","TMZ Presents: The Real Hulk Hogan"
"2022-10-13","Documentary","Simon Stanford,","52 min","N/A","N/A","The Secret Life of Seals"
"2025-09-25","Crime, Drama","María Paz Grandjean, Ignacia Baeza, Rodrigo Palacios, Benjamín Westfall, Rosa Puga Vittini","102 min","Chile","Fabula, Fábula","Swim to Me"
"2025-04-04","Horror, Thriller, Mystery, Drama","Acorye' White, Jp Lambert, Ezekiel Ajeigbe, Joe Anthony Gordon, Lucky Johnson","95 min","United States of America","Anchored Lens Productions, Believe in Us Studios","The Grove"
"2024-09-26","Horror, Drama, Mystery","Galen Howard, Tim League, Franz Ablinger, Jello Biafra, Roland Gratzer","94 min","Australia","monochrom Propulsion Systems","Solvent"
"2025-08-29","Drama, Romance","Saša Tabakovič, Nataša Burger, Branko Završan, Saša Pavček, Špela Frlič","89 min","Croatia, Slovenia, Serbia, Italy","Nosorogi, Sister Productions, SPOK Films, Antitalent, Non-Aligned Films, Izazov 365, STARAGARA IT, Antitalent Produkcija","Little Trouble Girls"
"2025-07-04","Drama","Mahadev Hadapad, Mahanthesh Hiremath, Punith Shetty Allama, Ananya M.K, Mounesh Nataranga","110 min","United States of America","N/A","Hebbuli Cut"
"2025-10-12","Mystery","Pauline O'Driscoll, Fiach Kunz, Alan Devine, Don Wycherley, Tamera Mowry","84 min","United States of America","Muse Entertainment, Treehouse Media","Haunted Harmony Mysteries: Buried at C"
"2025-10-11","Comedy","Ellen Travolta, Laurie Harrop-Purser, Lacey Chabert, Laura Wardle, Walter Platz","84 min","United States of America","N/A","Haul Out the Halloween"
"2025-09-07","Crime, Thriller","Mercedes Mason, Gabrielle Ruiz, Jackson A. Dunn, Ed Quinn, Craig Sheffer","96 min","United States of America","Pictures From The Fringe, LB Entertainment, Intrinsic Value Films","Guns & Moses"
"2025-05-06","Horror, Thriller","Julian Curtis, Anthony Ciccotosto, Soren Jensen, Clyde Boraine, Lauren Esposito","97 min","United States of America","N/A","First Moon"
"2025-05-02","Animation, Fantasy, Family","Maziyar Jobrani, Jon Lovitz, Jailen Bates, Vivica A. Fox, Mary Deaton","88 min","United States of America","Automatic Entertainment","A Tooth Fairy Tale"
"2024-12-08","Horror, Documentary","Liam Le Guillou,","98 min","United States of America","Second Shot Films","A Cursed Man"
"2025-04-17","Drama, Thriller","Yael Stone, Fayssal Bazzi, Julian Maroun, Hazem Shammas, Ara Raad","119 min","Australia","Screen NSW, Spectrum Films, Jovial Planet Productions, Dreamlight Studios, POP Family Entertainment","The Correspondent"
"2024-06-04","Comedy","Ron Taylor,","63 min","United States of America","N/A","Ron Taylor: Avalanche"
"2023-03-25","Thriller","Taylor Blackwell, Sam Trammell, Molly Ringwald, Madison Lawlor, Miesha Tate","105 min","United States of America","N/A","Pursued"
"2025-03-07","Comedy, Science Fiction","Emily Browning, Contessa Treffone, Pallavi Sharda, Anna McGahan, Jane Allsop","91 min","Australia","VicScreen, MIFF Premiere Fund, Scripted Ink, ScreenWest, Madman Entertainment, MIFF Premiere Fund","One More Shot"
"2025-06-19","Adventure, Fantasy, Thriller, Drama, History","Michael Ronda, Haruhiko Yamanouchi, F. Murray Abraham, Nunzio Caponio, Isabelle Allen","115 min","Italy, United Kingdom, United States of America","L'Altrofilm, Orwo Studios (US), Black Lab VFX, Black Hangar Studios","Milarepa"
"2023-12-27","Thriller","Lila Abello, Jet Tranter, William Emmons, Marie-Therese Bjornerud, Richard Aspel","93 min","Australia","Moonroom Films","Lilith"
"2025-10-10","Comedy, Drama, Thriller","Jodi Michelle Pynn, Rose Byrne, Ivy Wolk, Manu Narayan, Laurence Blum","113 min","United States of America","A24, Central Pictures, Fat City, Bronxburgh, Central Pictures","If I Had Legs I'd Kick You"
"2025-08-07","TV Movie, Romance, Drama","Danica McKellar, Monica Lacy, Victoria Cabral, Patti Tippo, Mark Provencher","86 min","United States of America","Motion Picture Corporation of America, Brad Krevoy Production, Brad Krevoy Television","Grounded in Love"
"2025-10-09","Romance","Peter Carey, Katie Leclerc, Debrah Farentino, Jennifer Joan Taylor, Anna Zhang","83 min","United States of America","H9 Films","A Wisconsin Christmas Pie"
"2019-11-20","Drama","Jean-Pierre Darroussin, Jules Dhios Francisco, Spencer Bogaert, Benjamin Gauthier, Camille Cottin","89 min","France","Mon Voisin Productions, Epithète Films","The Dazzled"
"2022-10-03","Documentary","N/A","N/A min","Netherlands, United Kingdom, Germany","Off the Fence, Off the Fence","Africa from Above"
"2015-08-28","Drama","Shiori Doi, Tasuku Emoto, Naho Yamada, Eiji Okuda, Yukino Murakami","108 min","Japan","Shibuya Productions","Blood Bead"
"2022-09-10","Documentary","N/A","81 min","Ireland","N/A","Pray for Our Sinners"
"2024-11-24","N/A","Ken O'Keefe, Dan Bilzerian,","108 min","N/A","N/A","Occupied"
"2022-12-07","Drama, History","Wabinlé Nabié, Lyna Khoudri, Samir Guesmi, Leo Fournier, Reda Kateb","92 min","France","3b productions, France 2 Cinéma, Le Pacte, Wild Bunch","Our Brothers"
"2025-08-24","Documentary","Naomi Osaka,","101 min","N/A","N/A","Naomi Osaka: The Second Set"
"2023-08-17","Drama","Richard Short, Zac O'Meagher, Nick Afoa, Becky McEwan, Joshua Tan","90 min","New Zealand","Vada Productions, SunPix","Mysterious Ways"
"2024-06-13","Horror, Science Fiction","Demian Salomón, William Prociuk, Andrea Rincón, Malena Sánchez, Sofía Gala Castiglione","72 min","Argentina","N/A","Mar.IA"
"2025-10-06","Drama, Thriller","N/A","90 min","United States of America","N/A","The Roughneck"
"2025-10-09","Comedy","Frankie Quinones,","48 min","United States of America","N/A","Frankie Quiñones: Damn That's Crazy"
"2025-08-15","Drama, Western","Jennifer Ehle, Tabatha Zimiga, Renee Mousseaux, Leanna Shumpert, Chancey Ryder Witt","97 min","United States of America","Tanbark Pictures, Stetson's Kingdom, Station Road, Picture Movers Anonymous, Working Barn Productions, Low Road Films, STADIUM","East of Wall"
"2025-10-15","Horror, Thriller","Demián Bichir, Simon Webster, Jeremy Davies, Mason Thames, Graham Abbey","114 min","United States of America","Blumhouse Productions, Universal Pictures, Crooked Highway, Divide / Conquer","Black Phone 2"
"2023-10-06","Adventure, Drama, Comedy","Junko Kano, Pierre Taki, Tatsuro Kawano, Kai Hoshino Sandy, Shino Aoi","111 min","Japan","Mirus Pictures, Set Japan","All the Songs We Never Sang"
"2025-08-21","Comedy","Polly Marinho, Patrícia Ramos, Jorge Hissa, Camila Queiroz, Luana Martau","92 min","Brazil","Conspiração Filmes, H2O Films, Star Original Productions","A Woman with No Filter"
"2025-10-15","Action, Crime, Thriller","Konrad Eleryk, Pola Gonciarz, Cezary Łukaszewicz, Łukasz Simlat, Sebastian Stankiewicz","167 min","Poland","Hungry Crocodiles","Inside Furioza"
"2025-05-16","Thriller","Dylan Bruce, Emma Ho, Michael James Regan, Stephanie Gibson, Keanu Lee Nunes","140 min","United States of America","Brilliant Media Gmbh","The Unrestricted War"
"2024-08-29","Animation, Fantasy, Science Fiction","Denzil Smith, Arish Ahmad Khan, Karan Johar, Golshifteh Farahani, Tibu Fortes","103 min","France, Germany, India, Singapore","Dissidenz Films, Rapid Eye Movies, Red Cigarette Media, Civic Studios, Cofinova 18","Schirkoa: In Lies We Trust"
"2025-10-09","Documentary, Adventure","N/A","35 min","United States of America","N/A","Nerves"
"2025-10-11","Drama, Thriller, TV Movie, Crime","Elijah Fox, Elisha Cuthbert, Brendan Taylor, Pete MacLeod, Indy Lesage","86 min","United States of America","N/A","Monster in the Family: The Stacey Kananen Story"
"2025-06-20","Horror","Monique Parent, Sarah Nicklin, Gigi Gustin, Robert Rusler, Sarah Polednak","127 min","United States of America","Neon Noir","Garden of Eden"
"2025-02-14","Horror","Carrie Moore, Dave Moore, Aaron Crocker, David Patrick Whittle, Dale Coleman","51 min","United States of America","Cinema Epoch, Cineridge Entertainment, Wit's End Entertainment, CineRidge Entertainment","Demon Spawn"
"2025-07-11","Documentary","N/A","106 min","United States of America","N/A","COPES: Elite Commandos"
"2021-06-08","Crime, Documentary","Bob Boze Bell, Kathy Weiser-Alexander, Nick Volich, Tom Kimball, Doris Scism","108 min","United States of America","Mill Creek Entertainment, Mill Creek Entertainment","Becoming Evil: Serial Killers of the Old West"
"2025-09-05","Action, Comedy, Crime","Seann William Scott, Rob Riggle, Chance Perdomo, Ethan Suplee, Marcelle LeBlanc","97 min","United States of America","Entertainment 360, Hemlock Circle Productions, SSS Entertainment","Bad Man"
"2022-07-22","Horror","Michael Leo Centi, Sharon Backos, Paul Clemente, Joshua Anderson, Lisa Neeld","88 min","N/A","N/A","Attack of the Radioactive Zombies"
"2025-10-02","War, Thriller","Jonah Hauer-King, Lynn Adrianna, Tracy Letts, Gabriel Basso, Idris Elba","113 min","United States of America","First Light, Prologue Entertainment, Kingsgate Films","A House of Dynamite"
"2022-12-12","Drama, Mystery, Thriller","Anabella Rainer, Luiz Gustavo Cintra, Holly Blair, Sara Catherine Bellamy,","90 min","United States of America","Goreella Media, On The Brain, Oneninth Media","Girl Upstairs"
"2025-10-09","Horror","Jamie Flatters, Joelle Rae, Jackie Earle Haley, Ella-Rae Smith, David Angland","93 min","United States of America","Benacus Entertainment, RNF Productions","Your Host"
"2025-10-10","Thriller, Crime, Drama","Vachirawich Aranthanawong, Theeradej Wongpuapan, Chulachak Chakrabongse, Neennara Boonnithipaisit, Alissa Intusmith","128 min","Thailand","Changkitwittaya","Everybody Loves Me When I'm Dead"
"2024-11-21","Documentary","Evelyn Rich, Steve Otton, Dick Hoole, Paul Witzig,","80 min","Australia","Umbrella Entertainment, Screen NSW, South Australian Film Corporation, Eleven Post Production, Light Sound Art Film","You Should Have Been Here Yesterday"
"2022-03-09","Drama","Maria Bakalova, Vesela Kazakova, Diana Spasova, Jerome Godfrey, Siana Georgieva","107 min","Bulgaria, France","Activist38, ARTE, Ici & Là Productions, ARTE","Women Do Cry"
"2022-09-22","Drama","Natalia Kuloshvili, Giga Datiashvili, Anastasia Chanturia, Irakli Khrikadze,","103 min","Georgia","Film Asylum","Winter Blues"
"2019-10-01","Documentary","N/A","52 min","N/A","N/A","When Michael Met Davy"
"2021-04-08","Drama, Comedy","Farida Rahouadj, Paul Granier, Catherine Frot, Ibo Akou, Boris Gillot","86 min","France","Arches Films, Maneki Films","Under the Stars of Paris"
"2023-03-29","Romance, Comedy","Philippe Letourneur, Philippe Katerine, François Labarthe, Jonathan Ricquebourg, Arnaud Delord","91 min","France","Ecce Films, Tourne Films, ARTE France Cinéma, Météore Films","Voyages en Italie"
"2023-06-02","Drama, Fantasy","Ada Mar Lupiáñez, Tamara Arias, Vera Centenera,","98 min","Spain","La Claqueta, La Cruda Realidad, Secaderos La Película AIE, Un Capricho de Producciones, Amplitud INC","Tobacco Barns"
"2023-04-06","Comedy, Action","Dom Petchtamrongchai, Padung Songsang, Raphatson Ritthithanaphaibun, James Puwadon Vejvongsa, Prangthip Ta-lang","107 min","Thailand","M Studio, Positive Thinking, M Pictures","Tiger Running"
"2021-10-14","Documentary","Paul Sammon, Mary E. Vogt, Stephen Scarlata, Sting, Sean Young","82 min","United States of America","Ballyhoo Motion Pictures","The Sleeper Must Awaken: Making Dune"
"2024-05-02","Drama, Comedy","Jemaine Clement, Elizabeth Hawthorne, Robbie Magasiva, Rachel House, Roxie Mohebbi","100 min","New Zealand","Miss Conception Films, Escapade Pictures","The Moon Is Upside Down"
"2024-11-28","Animation, Science Fiction, Fantasy","Antonia Giesen, Jaime Vadell, Francisco Visceral Rivera, Marcelo Liapiz, Álvaro Morales","62 min","Chile","Globo Rojo, Dilúvio, Globo Rojo Producciones","The Hyperboreans"
"2023-11-16","Documentary","Tina Turner, Cindy Crawford, Naomi Campbell, Andrea Boccaletti, Vincent De Paul","92 min","N/A","N/A","The Genius of Gianni Versace Alive"
"2024-09-27","Comedy, Drama","Ene Oloja, Missi Pyle, Aric Floyd, Aidan Micho, Sipiwe Moyo","94 min","United States of America","American High, Anyway Productions, P&G Studios, Wayfarer Studios, Try Anyway Productions, P&G Studios","Empire Waist"
"2025-11-13","Horror","Sean Whalen, Sean O'Bryan, Rebekah Kennedy, Maxime Rancon, Emily Goss","88 min","United States of America","The Rancon Company","Traumatika"
"2025-06-10","Horror, History","Matthew Baunsgard, Karl Hughes, Helen Fullerton, William Marshall, Tony Coughlan","75 min","United Kingdom","EMRJ Entertainment (GB)","Zombies of the Third Reich"
"2024-09-24","Horror, Thriller, Drama, Mystery","Katie Prentiss, Elijah Carnazzo, Charles Leggett, Duygu Monson, Avery Clark","100 min","United States of America","Adventus Films, Compulsion Films, Fractured Future Films, Hidden Ridge Productions, Compulsion Films, Adventus Films","Winter Island"
"2025-05-01","Horror","Matthew Sharpe, Christine Oswald, Eric Henderson, Guy Wellman, Joshua Cody","92 min","United States of America","Lucid Images","Wind and Bone"
"2024-09-13","Horror","N/A","88 min","United States of America","N/A","Weekend Deadaway"
"2024-06-08","Horror, Thriller","Juan Manuel Salcito, Evelin Buchegger, Tom Mclaren, Denise Correia,","71 min","United States of America","CreepyTV","Web"
"2025-02-28","Horror","Eric Parkinson, Jessica K. Chaves, Christopher Orozco, Kelley Lord, Mark Overby","95 min","United States of America","Trupeak Entertainment, Midnight Castle Productions","Unholy Song"
"2024-12-21","Horror","Orlando Charvetto, Martin Nuza, Costas Mandylor, Nadezha Todorova Vulova Nuza, Kavish Sachanandani","80 min","Gibraltar","Creep House Entertainment","Tragic Waste"
"2025-09-12","Thriller, Drama","Courtney Gains, Anthony Dain, David Hejmanowski, Richard Huddleston, Heather Giglio","98 min","United States of America","Securo7Entertainment","Thy Will Be Done"
"2025-06-12","Comedy, Drama, Family","Oki Rengga, Emil Kusumo, Yessi Kenyang, Coki Pardede, Whani Darmawan","116 min","Indonesia","Falcon Pictures, Falcon Pictures","Keluarga Super Irit"
"2025-01-22","Drama","Sophie Guillemin, Denis Simonetta, Vincent Lindon, Stefan Crepon, Naeem Abdulgafoor","110 min","France, Belgium","Felicita Films, Curiosa Films, France 3 Cinéma, Umedia, Canal+, France Télévisions, Ciné+, OCS, Cinémage 18, Bureau des Images Grand-Est, uFund, Tax Shelter du Gouvernement Fédéral Belge, CNC, Canal+, Centre National de la Cinématographie, Tax Shelter du Gouvernement Fédéral Belge, Ciné+","The Quiet Son"
"2024-11-01","Horror, Thriller","Ameerah Briggs, Kaitlyn Lunardi, Jessy Holtermann, LeJon Woods, Brianna Cala","80 min","United States of America","N/A","The North Witch"
"2025-07-31","Drama","Bart Harder, Matthijs van de Sande Bakhuyzen, Olly Bassi, Carlos Pulido,","130 min","Netherlands","Tuesday Studio","The North"
"2025-04-29","Horror, Mystery, Thriller","Luke Shaw, Dylan Guest, Arna Reed,","119 min","Australia","N/A","The Household"
"2025-03-27","Documentary","Coco Legrand,","100 min","United States of America","N/A","El gran Coco Legrand"
"2025-04-29","Thriller","Andrea Rincón, Matías Desiderio, Leonor Manso, Pablo Pinto, Darío Levy","101 min","Argentina","LouLou Productions, Corralón Films","The Clouds"
"2025-07-18","Horror","Leighton Cardno, Rasmus Toyra, Adrian D'Arcy, Gautier de Fontaine, Taylor Buoro","97 min","Australia","Buff Dubs, Sterling Cinema, Brainstorm Media","The Banished"
"2025-04-26","Horror","David 'Shark' Fralick, Sarah French, Felissa Rose, Kaleina Cordova, Katarina Leigh Waters","82 min","United States of America","N/A","Sorority of the Damned"
"2024-06-25","Documentary","Jaayden Bush, Russell Payne, Marco Kenz, Cord Stansberry,","106 min","United States of America","Diesel Films, Inc.","Rise Above: The Journey to College Basketball"
"2025-10-15","Drama, Romance","Gabriela Andrada, Felipe Londoño, Gary Anthony Stennette, Víctor Varona, Gabriel Guevara","112 min","Spain, United States of America","Pokeepsie Films, Amazon MGM Studios","Our Fault"
"2025-07-18","Thriller, Crime","Kamaleshwar Mukherjee, Uday Tikekar, Nakul Roshan Sandev, Masood Akhtar, Ravina Sharma","153 min","India","ACjee Entertainment, Reliance Entertainment","Murderbaad"
"2025-06-13","Action, Comedy, Thriller","Dermot Mulroney, Sean Patrick Flanery, Dave Lindsay, Rita Rehn, Katie Killacky","98 min","United States of America","Morningstar Films, Arck Entertainment","Killing Mary Sue"
"2025-08-20","Documentary, TV Movie","N/A","55 min","France","N/A","HEC, admis sans les codes"
"2025-07-11","Drama","Andreas Damm, Ilana Cilliers, Rob van Vuuren, Craig Jackson, Sandile Skhosana","98 min","South Africa","Rose and Oaks Media, Paeony Pictures","Don't Let's Go to the Dogs Tonight"
"2025-10-02","Horror, Thriller, Mystery","Maddie Hasson, Marco Pigossi, Eliane Reis, Alex Roe, Andra Nechita","94 min","United States of America","LD Entertainment, Door Number 3 Films, Liddell Entertainment","Bone Lake"
"2011-09-27","Fantasy, Action, Adventure","Cecily Fay, Jason Beeston, Nia Ann, Carys Eleri, Dylan Jones","90 min","United States of America","The Asylum","Dragon Crusaders"
"2008-05-17","Drama, Horror, Science Fiction, Thriller","Adrianne Richards, Cas Anvar, Vlasta Vrána, Ian Finlay, Dougray Scott","89 min","N/A","N/A","Dr. Jekyll and Mr. Hyde"
"2023-10-03","Horror, Action, Thriller","Corsica Wilson, Jenna Leigh Green, Shane Johnson, Dean Geyer, Joe Towne","83 min","United States of America","Flynn Forest Productions, Lucky 13 Productions, Sight & Sound Productions","Decade of the Dead"
"2013-09-01","Family, Animation","Frank Welker, Jeff Bennett, Lara Jill Miller, Jim Cummings, Rino Romano","58 min","N/A","Universal Pictures","Curious George: A Halloween Boo Fest"
"1992-05-08","Crime, Drama","J. C. Quinn, James Gammon, David Anthony Marshall, Keith Carradine, Neil Giuntoli","96 min","United States of America","Hawn / Sylbert Movie Company, MGM-Pathé Communications, Metro-Goldwyn-Mayer","CrissCross"
"2013-12-14","Romance, Drama, TV Movie","Tyler Hilton, Hilarie Burton, Markie Post, Cannon Bosarge, Jacob Etter","86 min","United States of America","Active Entertainment","Christmas on the Bayou"
"2020-03-13","Drama","Ane Dahl Torp, Tintin Poggats Sarri, Siw Erixon, Anton Raukola, Sofia Jannok","94 min","Denmark, Norway, Sweden","Nordisk Film Sweden, Nordisk Film Denmark, Nordisk Film Norway, SVT, Filmpool Nord, Nordisk Film, Nordisk Film, Nordisk Film Distribution","Charter"
"2008-02-15","Horror, TV Movie","Gil Gerard, Adrian Alvarado, John Callahan, Walter Koenig, Michael Horse","90 min","United States of America","Sunfilm Entertainment, Syfy, CineTel Films","The Bone Eater"
"1974-03-07","Western","David Huddleston, Sian Barbara Allen, Dawn Little Sky, Henry Medicine Hat, Vic Armstrong","99 min","United States of America","Algonquin","Billy Two Hats"
"1967-08-03","War, Drama","Hiroshi Kiyama, Jean Wallace, Cornel Wilde, Dewey Stringer, Michael Parsons","103 min","United States of America","Theodora Productions","Beach Red"
"2000-09-02","Fantasy, Drama, Family","Florence Hoath, Joan Plowright, George Baker, Cherie Lunghi, Aled Roberts","100 min","Germany, United Kingdom","Hallmark Entertainment, Artisan Entertainment","Back to the Secret Garden"
"2014-03-09","Drama","Danny DeVito, Chase Offerle, Isabelle Fuhrman, Evan Ross, Gilberto Martin del Campo","85 min","United States of America","Super Crispy Entertainment","All the Wilderness"
"2013-12-14","Drama, Romance, Fantasy, TV Movie","Jeff Marchelletta, Jason Bud, Héctor Ortega, David A. Garcia, Erika Perez","89 min","United States of America","The Asylum, The Global Asylum, LLC.","A Snow Globe Christmas"
"1984-06-01","Action, Romance","Jayne Bentzen, Andy Fenwick, Mert Hatfield, Kathleen Turner, John Dennis Johnston","101 min","United States of America","Sagittarius Productions, Hemdale, Cinema 84, Hemdale Film","A Breed Apart"
"1989-03-22","War","Richard Brooks, Glenn Morshower, Jonathan Emerson, Nicholas Cascone, Sonny Carl Davis","90 min","United States of America","The Charlie Mopic Company, Charlie Mopic","84C MoPic"
"2025-10-17","Documentary, Crime","N/A","89 min","Portugal","N/A","Turn of the Tide: The Surreal Story of Rabo de Peixe"
"2025-10-17","Animation, Comedy, Family, Fantasy","Maitreyi Ramakrishnan, Mark Proksch, Margo Martindale, Charlie Berens, Jason Mantzoukas","98 min","United Kingdom","Jellyfish Pictures, The Roald Dahl Story Company, The Roald Dahl Story Company","The Twits"
"2025-10-10","Documentary","N/A","97 min","United States of America","Park Pictures Features, Message Pictures, SO'B Productions","The Perfect Neighbor"
"2025-10-03","Drama, Thriller","Iraia Elias, Ariadna Gil, Susana Abaitua, Raúl Arévalo, Eduardo Rejón","105 min","Spain","Basoilarraren Filmak","She Walks in Darkness"
